Base,Base wt %,Support,Support wt %,Yield_H2CO2_2.0,Yield_H2CO2_3.0,Yield_H2CO2_4.0,Max_Yield_AllR,Min_Yield_AllR
Mg,0.7000000000000001,ZnO-ZrO2,99.5333333333333,2.419739145416666,2.419739145416666,2.552864434649999,2.552864434649999,2.419739145416666
Pd,3.524342105263158,ZnAlO,97.5,2.195946717283333,2.195946717283333,2.4660120447733904,2.4660120447733904,2.195946717283333
Pd,3.524342105263158,MoS2,93.73333333333332,2.119253733633333,2.119253733633333,2.4286066436233904,2.4286066436233904,2.119253733633333
Mn,1.6,ZnAlO,97.5,2.1429367445166663,2.1429367445166663,2.424972182406724,2.424972182406724,2.1429367445166663
Mn,1.6,MoS2,93.73333333333332,2.056185375633334,2.056185375633334,2.3734153911233906,2.3734153911233906,2.056185375633334
Pd,3.524342105263158,ZnO-Fe2O3,95.0,2.1526111029499995,2.1526111029499995,2.33098268855,2.33098268855,2.1526111029499995
Pd,3.524342105263158,Nb2O5,93.4,2.0476360909333327,2.0476360909333327,2.3231961865233903,2.3231961865233903,2.0476360909333327
Mn,1.6,ZnO-Fe2O3,95.0,2.085565578883333,2.085565578883333,2.2759072748833336,2.2759072748833336,2.085565578883333
Pd,3.524342105263158,ZnO-ZrO2,99.5333333333333,2.12934483975,2.12934483975,2.2743944542500008,2.2743944542500008,2.12934483975
Mn,1.6,Nb2O5,93.4,1.9901883147333337,1.9901883147333337,2.2695493268233906,2.2695493268233906,1.9901883147333337
Pd,3.524342105263158,SiO2,92.02162162162162,1.9845771977833329,1.9845771977833329,2.2440360721733903,2.2440360721733903,1.9845771977833329
Pd,3.524342105263158,ZnAl2O4,92.5,1.9845771977833329,1.9845771977833329,2.2440360721733903,2.2440360721733903,1.9845771977833329
Pd,3.524342105263158,TiO2,91.93333333333334,1.9845771977833329,1.9845771977833329,2.2440360721733903,2.2440360721733903,1.9845771977833329
La,3.0,ZnAlO,97.5,1.9267748762833332,1.9267748762833332,2.2217293376067238,2.2217293376067238,1.9267748762833332
La,3.0,MoS2,93.73333333333332,1.8266412480000005,1.8266412480000005,2.15954812682339,2.15954812682339,1.8266412480000005
Mn,1.6,ZnAl2O4,92.5,1.8829341699166668,1.8829341699166668,2.150763158706724,2.150763158706724,1.8829341699166668
Mn,1.6,SiO2,92.02162162162162,1.8829341699166668,1.8829341699166668,2.150763158706724,2.150763158706724,1.8829341699166668
Mn,1.6,TiO2,91.93333333333334,1.8829341699166668,1.8829341699166668,2.150763158706724,2.150763158706724,1.8829341699166668
Mn,1.6,ZnO-ZrO2,99.5333333333333,1.9489889852833335,1.9489889852833335,2.0970785400833334,2.0970785400833334,1.9489889852833335
La,3.0,ZnO-Fe2O3,95.0,1.8859405008500003,1.8859405008500003,2.089201220283333,2.089201220283333,1.8859405008500003
La,3.0,Nb2O5,93.4,1.7575554015000006,1.7575554015000006,2.0525932769233908,2.0525932769233908,1.7575554015000006
